,Content ID,Reactions Type,Datetime,Content Type,Category,Sentiment,Score,content_month
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07,photo,STUDYING,negative,0,November
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17,photo,STUDYING,negative,10,June
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18,photo,STUDYING,negative,15,April
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06,photo,STUDYING,negative,0,January
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23,photo,STUDYING,positive,30,August
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07,photo,STUDYING,neutral,35,December
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11,photo,STUDYING,positive,70,April
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27,photo,STUDYING,negative,5,January
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01,photo,STUDYING,neutral,35,April
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,2020-08-04,photo,STUDYING,positive,65,August
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07,photo,STUDYING,neutral,20,November
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02,photo,STUDYING,negative,15,November
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01,photo,STUDYING,positive,30,November
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07,photo,STUDYING,negative,5,October
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03,photo,STUDYING,negative,15,September
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24,photo,STUDYING,positive,75,February
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23,photo,STUDYING,neutral,35,September
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24,photo,STUDYING,neutral,20,February
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22,photo,STUDYING,positive,30,May
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2021-01-31,photo,STUDYING,positive,45,January
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20,photo,STUDYING,neutral,35,November
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11,photo,STUDYING,negative,12,April
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13,photo,STUDYING,positive,50,June
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11,photo,STUDYING,positive,60,April
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02,photo,STUDYING,negative,12,March
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27,photo,STUDYING,negative,5,June
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09,photo,STUDYING,negative,5,May
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04,photo,STUDYING,positive,70,August
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28,photo,STUDYING,positive,75,August
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2020-08-25,photo,STUDYING,positive,45,August
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20,photo,STUDYING,negative,15,April
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07,photo,STUDYING,positive,30,March
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24,photo,STUDYING,neutral,20,May
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24,photo,STUDYING,positive,75,January
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09,photo,STUDYING,negative,0,April
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02,photo,STUDYING,positive,75,February
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04,photo,STUDYING,positive,30,February
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09,photo,STUDYING,negative,10,November
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29,photo,STUDYING,negative,15,September
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-29,photo,STUDYING,negative,10,November
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13,photo,STUDYING,positive,70,February
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14,photo,STUDYING,positive,30,July
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23,photo,STUDYING,neutral,20,August
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10,photo,STUDYING,negative,12,May
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15,photo,STUDYING,negative,5,March
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25,photo,HEALTHYEATING,negative,10,June
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13,photo,HEALTHYEATING,positive,45,September
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20,photo,HEALTHYEATING,neutral,35,August
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11,photo,HEALTHYEATING,negative,15,February
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08,photo,HEALTHYEATING,negative,5,March
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28,photo,HEALTHYEATING,negative,0,March
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25,photo,HEALTHYEATING,negative,5,May
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15,photo,HEALTHYEATING,positive,50,March
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05,photo,HEALTHYEATING,positive,65,May
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-08-31,photo,HEALTHYEATING,positive,65,August
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16,photo,HEALTHYEATING,positive,60,June
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07,photo,HEALTHYEATING,neutral,20,July
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20,photo,HEALTHYEATING,neutral,35,August
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23,photo,HEALTHYEATING,positive,65,September
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24,photo,HEALTHYEATING,positive,50,March
60,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07,photo,HEALTHYEATING,negative,5,December
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03,photo,HEALTHYEATING,positive,75,August
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10,photo,HEALTHYEATING,positive,72,January
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20,photo,HEALTHYEATING,negative,15,September
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,2020-07-20,photo,HEALTHYEATING,positive,70,July
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-24,photo,HEALTHYEATING,positive,72,October
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-06,photo,HEALTHYEATING,positive,30,June
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-12-25,photo,HEALTHYEATING,positive,60,December
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-14,photo,HEALTHYEATING,positive,50,June
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-05,photo,HEALTHYEATING,positive,50,June
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-11-18,photo,HEALTHYEATING,negative,5,November
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-05-09,photo,HEALTHYEATING,positive,30,May
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-05-11,photo,HEALTHYEATING,negative,10,May
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,2020-11-12,photo,HEALTHYEATING,neutral,35,November
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-06-21,photo,HEALTHYEATING,positive,60,June
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2021-03-04,photo,HEALTHYEATING,positive,75,March
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-07-09,photo,HEALTHYEATING,positive,70,July
